datetime,hour,day_of_week,month,day_of_year,temperature,prev_consumption,consumption
2006-12-16 17:00:00,17,5,12,350,7.7,2.533733333333333,2.533733333333333
2006-12-16 18:00:00,18,5,12,350,7.0,2.533733333333333,3.6322
2006-12-16 19:00:00,19,5,12,350,6.7,3.6322,3.4002333333333334
2006-12-16 20:00:00,20,5,12,350,6.4,3.4002333333333334,3.2685666666666666
2006-12-16 21:00:00,21,5,12,350,6.1,3.2685666666666666,3.0564666666666667
2006-12-16 22:00:00,22,5,12,350,5.3,3.0564666666666667,2.2001333333333335
2006-12-16 23:00:00,23,5,12,350,4.5,2.2001333333333335,2.0616
2006-12-17 00:00:00,0,6,12,351,3.4,2.0616,1.8824666666666667
2006-12-17 01:00:00,1,6,12,351,2.6,1.8824666666666667,3.3494
2006-12-17 02:00:00,2,6,12,351,1.6,3.3494,1.5872666666666666
2006-12-17 03:00:00,3,6,12,351,0.9,1.5872666666666666,1.6622
2006-12-17 04:00:00,4,6,12,351,0.3,1.6622,2.2157666666666667
2006-12-17 05:00:00,5,6,12,351,-0.1,2.2157666666666667,1.9967333333333332
2006-12-17 06:00:00,6,6,12,351,-0.4,1.9967333333333332,1.3033
2006-12-17 07:00:00,7,6,12,351,-0.6,1.3033,1.6200333333333332
2006-12-17 08:00:00,8,6,12,351,-0.5,1.6200333333333332,1.8905666666666667
2006-12-17 09:00:00,9,6,12,351,-0.2,1.8905666666666667,2.5490666666666666
2006-12-17 10:00:00,10,6,12,351,0.1,2.5490666666666666,3.6289
2006-12-17 11:00:00,11,6,12,351,1.2,3.6289,2.471
2006-12-17 12:00:00,12,6,12,351,3.1,2.471,1.9158666666666666
2006-12-17 13:00:00,13,6,12,351,4.9,1.9158666666666666,1.6607666666666667
2006-12-17 14:00:00,14,6,12,351,6.1,1.6607666666666667,2.092633333333333
2006-12-17 15:00:00,15,6,12,351,7.0,2.092633333333333,2.9854
2006-12-17 16:00:00,16,6,12,351,7.5,2.9854,3.326033333333333
2006-12-17 17:00:00,17,6,12,351,7.3,3.326033333333333,3.4067666666666665
2006-12-17 18:00:00,18,6,12,351,6.4,3.4067666666666665,3.6971
2006-12-17 19:00:00,19,6,12,351,5.8,3.6971,2.9084
2006-12-17 20:00:00,20,6,12,351,4.9,2.9084,3.3615
2006-12-17 21:00:00,21,6,12,351,4.9,3.3615,3.040766666666667
2006-12-17 22:00:00,22,6,12,351,4.4,3.040766666666667,1.518
2006-12-17 23:00:00,23,6,12,351,3.8,1.518,0.4377333333333333
2006-12-18 00:00:00,0,0,12,352,3.4,0.4377333333333333,0.27636666666666665
2006-12-18 01:00:00,1,0,12,352,2.8,0.27636666666666665,0.3133
2006-12-18 02:00:00,2,0,12,352,2.4,0.3133,0.28446666666666665
2006-12-18 03:00:00,3,0,12,352,1.8,0.28446666666666665,0.30993333333333334
2006-12-18 04:00:00,4,0,12,352,2.0,0.30993333333333334,1.0263333333333333
2006-12-18 05:00:00,5,0,12,352,2.0,1.0263333333333333,0.2935
2006-12-18 06:00:00,6,0,12,352,1.8,0.2935,0.61
2006-12-18 07:00:00,7,0,12,352,1.7,0.61,2.4504333333333332
2006-12-18 08:00:00,8,0,12,352,1.3,2.4504333333333332,2.082133333333333
2006-12-18 09:00:00,9,0,12,352,1.6,2.082133333333333,1.6293333333333333
2006-12-18 10:00:00,10,0,12,352,1.5,1.6293333333333333,1.3096333333333334
2006-12-18 11:00:00,11,0,12,352,2.6,1.3096333333333334,1.5619333333333334
2006-12-18 12:00:00,12,0,12,352,3.3,1.5619333333333334,1.7560666666666667
2006-12-18 13:00:00,13,0,12,352,4.0,1.7560666666666667,1.6820666666666666
2006-12-18 14:00:00,14,0,12,352,4.5,1.6820666666666666,1.7330333333333332
2006-12-18 15:00:00,15,0,12,352,5.1,1.7330333333333332,1.7843
2006-12-18 16:00:00,16,0,12,352,5.2,1.7843,1.9493
2006-12-18 17:00:00,17,0,12,352,5.1,1.9493,2.1549
2006-12-18 18:00:00,18,0,12,352,4.8,2.1549,2.4025333333333334
2006-12-18 19:00:00,19,0,12,352,4.5,2.4025333333333334,2.6145
2006-12-18 20:00:00,20,0,12,352,4.1,2.6145,3.0505666666666666
2006-12-18 21:00:00,21,0,12,352,3.7,3.0505666666666666,2.1697333333333333
2006-12-18 22:00:00,22,0,12,352,3.5,2.1697333333333333,1.7388
2006-12-18 23:00:00,23,0,12,352,3.0,1.7388,1.5472666666666666
2006-12-19 00:00:00,0,1,12,353,2.6,1.5472666666666666,0.8371333333333333
2006-12-19 01:00:00,1,1,12,353,2.1,0.8371333333333333,0.3530333333333333
2006-12-19 02:00:00,2,1,12,353,1.4,0.3530333333333333,0.3272333333333333
2006-12-19 03:00:00,3,1,12,353,1.4,0.3272333333333333,0.3083
2006-12-19 04:00:00,4,1,12,353,1.2,0.3083,0.3278333333333333
2006-12-19 05:00:00,5,1,12,353,1.1,0.3278333333333333,0.30666666666666664
2006-12-19 06:00:00,6,1,12,353,1.1,0.30666666666666664,0.7963333333333333
2006-12-19 07:00:00,7,1,12,353,1.1,0.7963333333333333,1.7856333333333332
2006-12-19 08:00:00,8,1,12,353,1.3,1.7856333333333332,3.8790333333333336
2006-12-19 09:00:00,9,1,12,353,1.0,3.8790333333333336,1.6177666666666666
2006-12-19 10:00:00,10,1,12,353,1.1,1.6177666666666666,0.4371333333333333
2006-12-19 11:00:00,11,1,12,353,1.6,0.4371333333333333,2.321633333333333
2006-12-19 12:00:00,12,1,12,353,2.5,2.321633333333333,0.43066666666666664
2006-12-19 13:00:00,13,1,12,353,3.4,0.43066666666666664,0.30046666666666666
2006-12-19 14:00:00,14,1,12,353,4.0,0.30046666666666666,0.3021333333333333
2006-12-19 15:00:00,15,1,12,353,4.5,0.3021333333333333,0.42136666666666667
2006-12-19 16:00:00,16,1,12,353,4.6,0.42136666666666667,1.3721333333333334
2006-12-19 17:00:00,17,1,12,353,4.1,1.3721333333333334,2.1115
2006-12-19 18:00:00,18,1,12,353,3.0,2.1115,2.2047
2006-12-19 19:00:00,19,1,12,353,2.2,2.2047,1.8421
2006-12-19 20:00:00,20,1,12,353,1.8,1.8421,2.940533333333333
2006-12-19 21:00:00,21,1,12,353,1.8,2.940533333333333,1.4428666666666667
2006-12-19 22:00:00,22,1,12,353,1.7,1.4428666666666667,0.72
2006-12-19 23:00:00,23,1,12,353,1.4,0.72,0.3837
2006-12-20 00:00:00,0,2,12,354,1.2,0.3837,0.4598333333333333
2006-12-20 01:00:00,1,2,12,354,0.9,0.4598333333333333,0.25866666666666666
2006-12-20 02:00:00,2,2,12,354,0.7,0.25866666666666666,0.7843666666666667
2006-12-20 03:00:00,3,2,12,354,0.3,0.7843666666666667,0.3100333333333333
2006-12-20 04:00:00,4,2,12,354,0.0,0.3100333333333333,0.289
2006-12-20 05:00:00,5,2,12,354,-0.2,0.289,0.2627
2006-12-20 06:00:00,6,2,12,354,-0.4,0.2627,0.2836
2006-12-20 07:00:00,7,2,12,354,-0.5,0.2836,1.5266333333333333
2006-12-20 08:00:00,8,2,12,354,-0.5,1.5266333333333333,2.9176
2006-12-20 09:00:00,9,2,12,354,-0.3,2.9176,1.3855333333333333
2006-12-20 10:00:00,10,2,12,354,-0.3,1.3855333333333333,1.5103
2006-12-20 11:00:00,11,2,12,354,0.3,1.5103,2.8924
2006-12-20 12:00:00,12,2,12,354,1.7,2.8924,1.4210333333333334
2006-12-20 13:00:00,13,2,12,354,3.1,1.4210333333333334,1.4284
2006-12-20 14:00:00,14,2,12,354,4.3,1.4284,1.2949
2006-12-20 15:00:00,15,2,12,354,4.9,1.2949,0.28113333333333335
2006-12-20 16:00:00,16,2,12,354,5.0,0.28113333333333335,0.4684333333333333
2006-12-20 17:00:00,17,2,12,354,4.4,0.4684333333333333,0.5735
2006-12-20 18:00:00,18,2,12,354,3.1,0.5735,2.8368333333333333
2006-12-20 19:00:00,19,2,12,354,2.1,2.8368333333333333,3.2486333333333333
2006-12-20 20:00:00,20,2,12,354,1.5,3.2486333333333333,3.575466666666667
2006-12-20 21:00:00,21,2,12,354,1.2,3.575466666666667,3.6460666666666666
2006-12-20 22:00:00,22,2,12,354,1.1,3.6460666666666666,3.0589666666666666
2006-12-20 23:00:00,23,2,12,354,0.9,3.0589666666666666,2.3817666666666666
2006-12-21 00:00:00,0,3,12,355,0.7,2.3817666666666666,1.5358666666666667
2006-12-21 01:00:00,1,3,12,355,0.6,1.5358666666666667,1.3979666666666666
2006-12-21 02:00:00,2,3,12,355,0.5,1.3979666666666666,1.2749
2006-12-21 03:00:00,3,3,12,355,0.6,1.2749,0.3026
2006-12-21 04:00:00,4,3,12,355,0.5,0.3026,0.24673333333333333
2006-12-21 05:00:00,5,3,12,355,0.5,0.24673333333333333,0.2907
2006-12-21 06:00:00,6,3,12,355,0.6,0.2907,0.2956666666666667
2006-12-21 07:00:00,7,3,12,355,0.9,0.2956666666666667,1.2804666666666666
2006-12-21 08:00:00,8,3,12,355,1.5,1.2804666666666666,1.5630333333333333
2006-12-21 09:00:00,9,3,12,355,1.7,1.5630333333333333,2.5758
2006-12-21 10:00:00,10,3,12,355,2.2,2.5758,1.7677
2006-12-21 11:00:00,11,3,12,355,3.1,1.7677,0.5168333333333334
2006-12-21 12:00:00,12,3,12,355,4.5,0.5168333333333334,0.8191333333333334
2006-12-21 13:00:00,13,3,12,355,5.5,0.8191333333333334,1.6882333333333333
2006-12-21 14:00:00,14,3,12,355,6.3,1.6882333333333333,1.0239
2006-12-21 15:00:00,15,3,12,355,6.9,1.0239,0.3074
2006-12-21 16:00:00,16,3,12,355,7.2,0.3074,1.3600666666666668
2006-12-21 17:00:00,17,3,12,355,7.0,1.3600666666666668,1.7526333333333333
2006-12-21 18:00:00,18,3,12,355,6.5,1.7526333333333333,2.4433
2006-12-21 19:00:00,19,3,12,355,6.2,2.4433,2.1971333333333334
2006-12-21 20:00:00,20,3,12,355,5.9,2.1971333333333334,2.4373666666666667
